"시점","항목",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2002","총전입 (명)",9584461,2318051,600936,466894,540812,294120,302944,176413,-,2449422,266880,243571,274820,338554,316647,384589,514140,95668
"2002","총전출 (명)",9584461,2424472,650378,476535,540582,289765,294389,173788,-,2133640,284061,251773,288445,395289,362799,415867,507244,95434
"2002","순이동 (명)",0,-106421,-49442,-9641,230,4355,8555,2625,-,315782,-17181,-8202,-13625,-56735,-46152,-31278,6896,234
"2002","시도내이동-시군구내 (명)",3622611,776388,190627,166289,181828,93229,91658,63537,-,919703,129776,119758,110326,181954,142161,182668,226401,46308
"2002","시도내이동-시군구간 전입 (명)",2967035,896259,273495,192553,177990,100875,109920,60264,-,634668,52453,45839,44765,84493,64068,68875,134188,26330
"2002","시도내이동-시군구간 전출 (명)",2967035,896259,273495,192553,177990,100875,109920,60264,-,634668,52453,45839,44765,84493,64068,68875,134188,26330
"2002","시도간전입 (명)",2994815,645404,136814,108052,180994,100016,101366,52612,-,895051,84651,77974,119729,72107,110418,133046,153551,23030
"2002","시도간전출 (명)",2994815,751825,186256,117693,180764,95661,92811,49987,-,579269,101832,86176,133354,128842,156570,164324,146655,22796
"2003","총전입 (명)",9516605,2242723,625355,487515,510347,304505,304736,191255,-,2304535,269296,246415,312739,397299,326582,371006,523882,98415
"2003","총전출 (명)",9516605,2311691,667618,490571,526518,314192,298910,189383,-,2082492,282359,252496,310057,400338,362685,407839,519594,99862
"2003","순이동 (명)",0,-68968,-42263,-3056,-16171,-9687,5826,1872,-,222043,-13063,-6081,2682,-3039,-36103,-36833,4288,-1447
"2003","시도내이동-시군구내 (명)",3536987,739688,201013,172043,175195,102392,93615,68363,-,872233,129184,118256,121644,182019,125492,169350,222817,43683
"2003","시도내이동-시군구간 전입 (명)",2971837,870005,280219,199964,173586,104068,106086,67184,-,599319,52533,48787,51424,105390,75348,68844,136905,32175
"2003","시도내이동-시군구간 전출 (명)",2971837,870005,280219,199964,173586,104068,106086,67184,-,599319,52533,48787,51424,105390,75348,68844,136905,32175
"2003","시도간전입 (명)",3007781,633030,144123,115508,161566,98045,105035,55708,-,832983,87579,79372,139671,109890,125742,132812,164160,22557
"2003","시도간전출 (명)",3007781,701998,186386,118564,177737,107732,99209,53836,-,610940,100642,85453,136989,112929,161845,169645,159872,24004
"2004","총전입 (명)",8567795,1926235,539108,418278,462835,284734,280028,184499,-,2079220,252902,231167,364482,329911,276573,360764,474081,102978
"2004","총전출 (명)",8567795,1973439,572337,431605,464170,287882,277412,182735,-,1890345,261244,236984,329499,380880,308825,387685,479692,103061
"2004","순이동 (명)",0,-47204,-33229,-13327,-1335,-3148,2616,1764,-,188875,-8342,-5817,34983,-50969,-32252,-26921,-5611,-83
"2004","시도내이동-시군구내 (명)",3127996,606162,171512,149804,151450,96127,83311,67848,-,762655,118502,105914,126074,163209,112518,168353,203914,40643
"2004","시도내이동-시군구간 전입 (명)",2646060,739186,235922,165743,155322,95723,96877,63648,-,560782,48744,44777,64138,89409,56461,62499,127520,39309
"2004","시도내이동-시군구간 전출 (명)",2646060,739186,235922,165743,155322,95723,96877,63648,-,560782,48744,44777,64138,89409,56461,62499,127520,39309
"2004","시도간전입 (명)",2793739,580887,131674,102731,156063,92884,99840,53003,-,755783,85656,80476,174270,77293,107594,129912,142647,23026
"2004","시도간전출 (명)",2793739,628091,164903,116058,157398,96032,97224,51239,-,566908,93998,86293,139287,128262,139846,156833,148258,23109
"2005","총전입 (명)",8795397,1990749,552771,440350,502168,290429,287835,169681,-,2197321,245689,235907,325444,311537,284412,374711,493352,93041
"2005","총전출 (명)",8795397,2041756,589746,465300,491203,297762,284625,170073,-,2028470,257162,240615,320445,336014,304419,386228,487733,93846
"2005","순이동 (명)",0,-51007,-36975,-24950,10965,-7333,3210,-392,-,168851,-11473,-4708,4999,-24477,-20007,-11517,5619,-805
"2005","시도내이동-시군구내 (명)",3279032,628013,182612,164180,166861,99108,86448,61880,-,839637,118571,113771,124554,158000,118730,164429,209952,42286
"2005","시도내이동-시군구간 전입 (명)",2701086,769700,239396,173277,167263,103774,103121,56286,-,587523,46506,43610,53973,79072,55744,63390,129855,28596
"2005","시도내이동-시군구간 전출 (명)",2701086,769700,239396,173277,167263,103774,103121,56286,-,587523,46506,43610,53973,79072,55744,63390,129855,28596
"2005","시도간전입 (명)",2815279,593036,130763,102893,168044,87547,98266,51515,-,770161,80612,78526,146917,74465,109938,146892,153545,22159
"2005","시도간전출 (명)",2815279,644043,167738,127843,157079,94880,95056,51907,-,601310,92085,83234,141918,98942,129945,158409,147926,22964
"2006","총전입 (명)",9342074,2173907,559915,428417,523457,301479,294814,174389,-,2459641,254508,245977,336866,327237,284276,391486,496713,88992
"2006","총전출 (명)",9342074,2210458,594601,454076,513839,304209,292499,176800,-,2321008,264068,244227,329811,346399,308961,394805,495419,90894
"2006","순이동 (명)",0,-36551,-34686,-25659,9618,-2730,2315,-2411,-,138633,-9560,1750,7055,-19162,-24685,-3319,1294,-1902
"2006","시도내이동-시군구내 (명)",3547116,689769,182601,160586,180422,104288,88470,64972,-,993502,123916,104103,141168,169260,115937,169701,211879,46542
"2006","시도내이동-시군구간 전입 (명)",2848289,831339,245982,165383,167506,103244,108271,57971,-,655523,46318,56679,50406,78951,56985,68864,134577,20290
"2006","시도내이동-시군구간 전출 (명)",2848289,831339,245982,165383,167506,103244,108271,57971,-,655523,46318,56679,50406,78951,56985,68864,134577,20290
"2006","시도간전입 (명)",2946669,652799,131332,102448,175529,93947,98073,51446,-,810616,84274,85195,145292,79026,111354,152921,150257,22160
"2006","시도간전출 (명)",2946669,689350,166018,128107,165911,96677,95758,53857,-,671983,93834,83445,138237,98188,136039,156240,148963,24062
"2007","총전입 (명)",9070102,2078045,529343,399853,576619,286105,283080,180375,-,2306957,245182,253433,355213,332957,287179,380925,491542,83294
"2007","총전출 (명)",9070102,2130928,565419,416398,553898,290248,284128,181367,-,2193857,251328,247741,341850,343831,303752,395536,483599,86222
"2007","순이동 (명)",0,-52883,-36076,-16545,22721,-4143,-1048,-992,-,113100,-6146,5692,13363,-10874,-16573,-14611,7943,-2928
"2007","시도내이동-시군구내 (명)",3390521,656506,169293,145078,200074,91729,86431,64964,-,899800,112795,116774,145645,160384,115319,171623,202396,51710
"2007","시도내이동-시군구간 전입 (명)",2757578,792098,228423,152791,186932,103807,100609,62992,-,626104,45271,50081,54981,87266,58492,67182,130580,9969
"2007","시도내이동-시군구간 전출 (명)",2757578,792098,228423,152791,186932,103807,100609,62992,-,626104,45271,50081,54981,87266,58492,67182,130580,9969
"2007","시도간전입 (명)",2922003,629441,131627,101984,189613,90569,96040,52419,-,781053,87116,86578,154587,85307,113368,142120,158566,21615
"2007","시도간전출 (명)",2922003,682324,167703,118529,166892,94712,97088,53411,-,667953,93262,80886,141224,96181,129941,156731,150623,24543
"2008","총전입 (명)",8808256,2025358,514502,409938,565585,268757,263532,181662,-,2195585,252193,244672,355294,322495,277906,363297,487356,80124
"2008","총전출 (명)",8808256,2083352,549106,422676,556166,268310,269142,177756,-,2094988,250883,237759,339765,333045,291224,377397,474327,82360
"2008","순이동 (명)",0,-57994,-34604,-12738,9419,447,-5610,3906,-,100597,1310,6913,15529,-10550,-13318,-14100,13029,-2236
"2008","시도내이동-시군구내 (명)",3321911,633437,167064,149384,204203,88276,81780,63210,-,860674,117605,109632,144657,164569,114883,165140,206547,50850
"2008","시도내이동-시군구간 전입 (명)",2694194,792776,220814,161729,185742,94197,92968,64359,-,594277,44249,50203,59645,77802,57761,64193,124765,8714
"2008","시도내이동-시군구간 전출 (명)",2694194,792776,220814,161729,185742,94197,92968,64359,-,594277,44249,50203,59645,77802,57761,64193,124765,8714
"2008","시도간전입 (명)",2792151,599145,126624,98825,175640,86284,88784,54093,-,740634,90339,84837,150992,80124,105262,133964,156044,20560
"2008","시도간전출 (명)",2792151,657139,161228,111563,166221,85837,94394,50187,-,640037,89029,77924,135463,90674,118580,148064,143015,22796
"2009","총전입 (명)",8487275,1873188,519310,398626,478169,293879,252424,159953,-,2175681,249191,232872,329626,314137,281051,367244,485349,76575
"2009","총전출 (명)",8487275,1925452,549094,411288,476071,290771,258182,164984,-,2081528,247373,230351,317511,318943,288476,375551,474110,77590
"2009","순이동 (명)",0,-52264,-29784,-12662,2098,3108,-5758,-5031,-,94153,1818,2521,12115,-4806,-7425,-8307,11239,-1015
"2009","시도내이동-시군구내 (명)",3183026,560864,165137,144903,165110,98437,79604,55134,-,861125,113501,104684,134213,163080,111863,165775,212702,46894
"2009","시도내이동-시군구간 전입 (명)",2575277,725991,226267,153852,153788,107710,87232,57204,-,594740,45325,46532,53545,71705,61056,62241,119310,8779
"2009","시도내이동-시군구간 전출 (명)",2575277,725991,226267,153852,153788,107710,87232,57204,-,594740,45325,46532,53545,71705,61056,62241,119310,8779
"2009","시도간전입 (명)",2728972,586333,127906,99871,159271,87732,85588,47615,-,719816,90365,81656,141868,79352,108132,139228,153337,20902
"2009","시도간전출 (명)",2728972,638597,157690,112533,157173,84624,91346,52646,-,625663,88547,79135,129753,84158,115557,147535,142098,21917
"2010","총전입 (명)",8226594,1733015,519334,370817,462051,268574,262432,161146,-,2168820,241738,235671,317853,305789,265600,354575,481955,77224
"2010","총전출 (명)",8226594,1848038,547800,382657,458439,265043,263477,164671,-,2026383,241183,229707,301675,308237,275661,358127,478709,76787
"2010","순이동 (명)",0,-115023,-28466,-11840,3612,3531,-1045,-3525,-,142437,555,5964,16178,-2448,-10061,-3552,3246,437
"2010","시도내이동-시군구내 (명)",3104796,520345,168131,138755,160948,90732,84052,56814,-,834147,110407,108942,129712,159076,108242,158808,228609,47076
"2010","시도내이동-시군구간 전입 (명)",2459505,679363,225399,135894,143018,92764,91910,56543,-,601122,42758,44125,47660,69805,55101,58834,106778,8431
"2010","시도내이동-시군구간 전출 (명)",2459505,679363,225399,135894,143018,92764,91910,56543,-,601122,42758,44125,47660,69805,55101,58834,106778,8431
"2010","시도간전입 (명)",2662293,533307,125804,96168,158085,85078,86470,47789,-,733551,88573,82604,140481,76908,102257,136933,146568,21717
"2010","시도간전출 (명)",2662293,648330,154270,108008,154473,81547,87515,51314,-,591114,88018,76640,124303,79356,112318,140485,143322,21280
"2011","총전입 (명)",8127195,1721748,508043,370563,499567,260561,264244,164963,-,2062422,236077,228594,321187,308011,261239,363511,473757,82708
"2011","총전출 (명)",8127195,1834806,532906,383310,470758,259282,260900,163091,-,1986623,231424,220515,302546,306290,266461,358695,469223,80365
"2011","순이동 (명)",0,-113058,-24863,-12747,28809,1279,3344,1872,-,75799,4653,8079,18641,1721,-5222,4816,4534,2343
"2011","시도내이동-시군구내 (명)",3143729,543807,167237,141462,169726,92897,85377,60856,-,832888,106092,103337,129403,157742,102728,163443,235551,51183
"2011","시도내이동-시군구간 전입 (명)",2378953,671315,209693,135033,155715,86974,90083,53713,-,554918,41050,42342,50249,71094,56825,60091,91195,8663
"2011","시도내이동-시군구간 전출 (명)",2378953,671315,209693,135033,155715,86974,90083,53713,-,554918,41050,42342,50249,71094,56825,60091,91195,8663
"2011","시도간전입 (명)",2604513,506626,131113,94068,174126,80690,88784,50394,-,674616,88935,82915,141535,79175,101686,139977,147011,22862
"2011","시도간전출 (명)",2604513,619684,155976,106815,145317,79411,85440,48522,-,598817,84282,74836,122894,77454,106908,135161,142477,20519
"2012","총전입 (명)",7506691,1555281,461042,348642,468666,228612,239635,161433,32784,1944962,225896,212263,287195,271835,239026,335362,414556,79501
"2012","총전출 (명)",7506691,1658928,481652,359206,440872,230437,239136,157427,15291,1862209,225184,207622,277346,275126,244080,340222,417328,74625
"2012","순이동 (명)",0,-103647,-20610,-10564,27794,-1825,499,4006,17493,82753,712,4641,9849,-3291,-5054,-4860,-2772,4876
"2012","시도내이동-시군구내 (명)",2827998,473458,150358,128630,156184,79574,71391,59048,4704,766080,101616,94467,120578,136862,92639,148144,198123,46142
"2012","시도내이동-시군구간 전입 (명)",2165953,595842,190110,126031,141795,72996,80990,50108,0,528485,39033,38994,41165,62392,50784,56104,82986,8138
"2012","시도내이동-시군구간 전출 (명)",2165953,595842,190110,126031,141795,72996,80990,50108,0,528485,39033,38994,41165,62392,50784,56104,82986,8138
"2012","시도간전입 (명)",2512740,485981,120574,93981,170687,76042,87254,52277,28080,650397,85247,78802,125452,72581,95603,131114,133447,25221
"2012","시도간전출 (명)",2512740,589628,141184,104545,142893,77867,86755,48271,10587,567644,84535,74161,115603,75872,100657,135974,136219,20345
"2013","총전입 (명)",7411784,1520090,478451,351873,461613,226696,230858,159492,23805,1895434,217917,215973,281428,258198,244329,329118,427658,88851
"2013","총전출 (명)",7411784,1620640,496161,363224,439578,229288,230547,157185,15109,1821303,214931,212860,268053,260395,246635,330983,423864,81028
"2013","순이동 (명)",0,-100550,-17710,-11351,22035,-2592,311,2307,8696,74131,2986,3113,13375,-2197,-2306,-1865,3794,7823
"2013","시도내이동-시군구내 (명)",2864028,468394,156335,132825,159934,82576,72406,58520,4105,767618,98433,101578,119387,132650,97685,146235,212397,52950
"2013","시도내이동-시군구간 전입 (명)",2124327,584614,202017,125282,137512,72689,76387,48733,0,506877,37608,38381,40169,57015,53781,54971,80634,7657
"2013","시도내이동-시군구간 전출 (명)",2124327,584614,202017,125282,137512,72689,76387,48733,0,506877,37608,38381,40169,57015,53781,54971,80634,7657
"2013","시도간전입 (명)",2423429,467082,120099,93766,164167,71431,82065,52239,19700,620939,81876,76014,121872,68533,92863,127912,134627,28244
"2013","시도간전출 (명)",2423429,567632,137809,105117,142132,74023,81754,49932,11004,546808,78890,72901,108497,70730,95169,129777,130833,20421
"2014","총전입 (명)",7629098,1573594,485710,350213,452297,243066,239559,176015,56526,1891775,228369,215944,289627,274337,260278,337041,462239,92508
"2014","총전출 (명)",7629098,1661425,500802,365739,442973,246043,248397,173229,23070,1834379,226284,213577,279817,276900,260874,338029,456164,81396
"2014","순이동 (명)",0,-87831,-15092,-15526,9324,-2977,-8838,2786,33456,57396,2085,2367,9810,-2563,-596,-988,6075,11112
"2014","시도내이동-시군구내 (명)",2957867,495401,154513,127462,162728,86184,73415,61578,10455,769180,106944,105337,121802,141920,107286,145694,236877,51091
"2014","시도내이동-시군구간 전입 (명)",2163435,602622,198769,125180,132647,78137,83546,60555,0,505892,38306,31277,43299,61805,54205,55565,83048,8582
"2014","시도내이동-시군구간 전출 (명)",2163435,602622,198769,125180,132647,78137,83546,60555,0,505892,38306,31277,43299,61805,54205,55565,83048,8582
"2014","시도간전입 (명)",2507796,475571,132428,97571,156922,78745,82598,53882,46071,616703,83119,79330,124526,70612,98787,135782,142314,32835
"2014","시도간전출 (명)",2507796,563402,147520,113097,147598,81722,91436,51096,12615,559307,81034,76963,114716,73175,99383,136770,136239,21723
"2015","총전입 (명)",7755286,1589431,507031,351424,473223,224603,220774,170393,83994,1993080,227125,214626,289952,261832,250104,344730,455384,97580
"2015","총전출 (명)",7755286,1726687,520591,364364,463685,233875,241390,170473,30950,1898312,222352,213188,279680,264662,246168,345307,450279,83323
"2015","순이동 (명)",0,-137256,-13560,-12940,9538,-9272,-20616,-80,53044,94768,4773,1438,10272,-2830,3936,-577,5105,14257
"2015","시도내이동-시군구내 (명)",3014020,524267,163750,130786,174846,79293,68094,57758,13990,816014,101138,106553,121329,134872,95042,148598,227168,50522
"2015","시도내이동-시군구간 전입 (명)",2189842,605262,212595,128399,139776,71484,71515,58373,0,530250,38880,26711,42167,58204,52661,60511,84540,8514
"2015","시도내이동-시군구간 전출 (명)",2189842,605262,212595,128399,139776,71484,71515,58373,0,530250,38880,26711,42167,58204,52661,60511,84540,8514
"2015","시도간전입 (명)",2551424,459902,130686,92239,158601,73826,81165,54262,70004,646816,87107,81362,126456,68756,102401,135621,143676,38544
"2015","시도간전출 (명)",2551424,597158,144246,105179,149063,83098,101781,54342,16960,552048,82334,79924,116184,71586,98465,136198,138571,24287
"2016","총전입 (명)",7378430,1515602,459015,328228,441646,213176,219252,148190,65052,1958593,223484,202679,286764,248188,234132,315652,411952,106825
"2016","총전출 (명)",7378430,1655859,480407,337488,435869,221074,229883,155812,35236,1824976,221592,197668,271446,252607,237337,318803,410180,92193
"2016","순이동 (명)",0,-140257,-21392,-9260,5777,-7898,-10631,-7622,29816,133617,1892,5011,15318,-4419,-3205,-3151,1772,14632
"2016","시도내이동-시군구내 (명)",2840295,487722,147728,113566,161701,77462,67638,55962,14546,785160,101820,100466,118023,123446,89149,138749,199864,57293
"2016","시도내이동-시군구간 전입 (명)",2084793,574193,192793,127156,129082,68120,71238,47380,0,515941,39101,23690,44983,58211,51809,54605,77340,9151
"2016","시도내이동-시군구간 전출 (명)",2084793,574193,192793,127156,129082,68120,71238,47380,0,515941,39101,23690,44983,58211,51809,54605,77340,9151
"2016","시도간전입 (명)",2453342,453687,118494,87506,150863,67594,80376,44848,50506,657492,82563,78523,123758,66531,93174,122298,134748,40381
"2016","시도간전출 (명)",2453342,593944,139886,96766,145086,75492,91007,52470,20690,523875,80671,73512,108440,70950,96379,125449,132976,25749
"2017","총전입 (명)",7154226,1472937,439073,321182,409465,208138,211449,135199,82073,1888324,211653,197177,288738,232047,227504,311061,413179,105027
"2017","총전출 (명)",7154226,1571423,467471,333118,411135,216256,227624,147116,47383,1772162,209618,194915,269337,239253,230551,316642,409200,91022
"2017","순이동 (명)",0,-98486,-28398,-11936,-1670,-8118,-16175,-11917,34690,116162,2035,2262,19401,-7206,-3047,-5581,3979,14005
"2017","시도내이동-시군구내 (명)",2701400,454536,139074,110696,147772,75293,64181,47645,23245,740434,92243,95481,120050,110582,85559,140628,200391,53590
"2017","시도내이동-시군구간 전입 (명)",2041896,564271,182532,125447,118622,66881,67475,47144,0,518753,38720,24344,41562,56756,51613,52607,75484,9685
"2017","시도내이동-시군구간 전출 (명)",2041896,564271,182532,125447,118622,66881,67475,47144,0,518753,38720,24344,41562,56756,51613,52607,75484,9685
"2017","시도간전입 (명)",2410930,454130,117467,85039,143071,65964,79793,40410,58828,629137,80690,77352,127126,64709,90332,117826,137304,41752
"2017","시도간전출 (명)",2410930,552616,145865,96975,144741,74082,95968,52327,24138,512975,78655,75090,107725,71915,93379,123407,133325,27747
"2018","총전입 (명)",7297099,1439707,416095,321158,433639,218892,212879,127922,86433,2041715,216398,218886,292305,243324,224384,309446,389714,104202
"2018","총전출 (명)",7297099,1549937,442854,335400,433706,225108,227632,140576,55000,1871621,220252,213737,282221,257097,232414,318671,395524,95349
"2018","순이동 (명)",0,-110230,-26759,-14242,-67,-6216,-14753,-12654,31433,170094,-3854,5149,10084,-13773,-8030,-9225,-5810,8853
"2018","시도내이동-시군구내 (명)",2776681,430780,130540,113477,155992,80537,65470,44554,28450,788471,103018,112186,126255,126328,83406,138178,193649,55390
"2018","시도내이동-시군구간 전입 (명)",2091234,548796,178172,122144,131244,69166,67848,44138,0,578031,37068,26684,43410,57018,51567,53977,72348,9623
"2018","시도내이동-시군구간 전출 (명)",2091234,548796,178172,122144,131244,69166,67848,44138,0,578031,37068,26684,43410,57018,51567,53977,72348,9623
"2018","시도간전입 (명)",2429184,460131,107383,85537,146403,69189,79561,39230,57983,675213,76312,80016,122640,59978,89411,117291,123717,39189
"2018","시도간전출 (명)",2429184,570361,134142,99779,146470,75405,94314,51884,26550,505119,80166,74867,112556,73751,97441,126516,129527,30336
"2019","총전입 (명)",7104398,1426493,411704,312419,420014,217130,212424,142056,82398,1940962,217626,211396,258790,228775,224483,306511,396251,94966
"2019","총전출 (명)",7104398,1476081,435058,336092,422351,221005,228766,152228,58674,1806296,215965,208831,259584,241523,233271,311082,405561,92030
"2019","순이동 (명)",0,-49588,-23354,-23673,-2337,-3875,-16342,-10172,23724,134666,1661,2565,-794,-12748,-8788,-4571,-9310,2936
"2019","시도내이동-시군구내 (명)",2659826,406796,125676,112136,150091,75101,65817,50135,28381,744143,104679,107970,104346,117247,84162,131914,200493,50739
"2019","시도내이동-시군구간 전입 (명)",2059624,543831,176434,119033,125990,74251,68178,51848,0,557565,35002,25414,39607,53110,52252,53785,74255,9069
"2019","시도내이동-시군구간 전출 (명)",2059624,543831,176434,119033,125990,74251,68178,51848,0,557565,35002,25414,39607,53110,52252,53785,74255,9069
"2019","시도간전입 (명)",2384948,475866,109594,81250,143933,67778,78429,40073,54017,639254,77945,78012,114837,58418,88069,120812,121503,35158
"2019","시도간전출 (명)",2384948,525454,132948,104923,146270,71653,94771,50245,30293,504588,76284,75447,115631,71166,96857,125383,130813,32222
"2020","총전입 (명)",7735491,1578127,491829,347248,444556,226163,232321,136112,78934,2152572,223354,229895,287127,249083,239016,317701,403339,98114
"2020","총전출 (명)",7735491,1642977,506176,364083,460304,232246,243418,149696,65909,1984199,217897,226441,286386,257577,248770,334679,419997,94736
"2020","순이동 (명)",0,-64850,-14347,-16835,-15748,-6083,-11097,-13584,13025,168373,5457,3454,741,-8494,-9754,-16978,-16658,3378
"2020","시도내이동-시군구내 (명)",2926406,444682,155767,122954,163316,81431,73445,48931,30045,842504,105809,118937,117462,132951,92950,138869,204318,52035
"2020","시도내이동-시군구간 전입 (명)",2274971,623431,214524,133114,134310,77086,77135,46706,0,605557,35254,28216,45904,53507,58263,57609,74992,9363
"2020","시도내이동-시군구간 전출 (명)",2274971,623431,214524,133114,134310,77086,77135,46706,0,605557,35254,28216,45904,53507,58263,57609,74992,9363
"2020","시도간전입 (명)",2534114,510014,121538,91180,146930,67646,81741,40475,48889,704511,82291,82742,123761,62625,87803,121223,124029,36716
"2020","시도간전출 (명)",2534114,574864,135885,108015,162678,73729,92838,54059,35864,536138,76834,79288,123020,71119,97557,138201,140687,33338
"2021","총전입 (명)",7213422,1418187,441323,304761,433137,212888,211565,129880,76912,2036215,217103,214300,282195,223710,223619,317866,374782,94979
"2021","총전출 (명)",7213422,1524430,460226,329080,421714,218771,220496,143554,62827,1885698,210422,210838,273673,229511,228106,314529,388485,91062
"2021","순이동 (명)",0,-106243,-18903,-24319,11423,-5883,-8931,-13674,14085,150517,6681,3462,8522,-5801,-4487,3337,-13703,3917
"2021","시도내이동-시군구내 (명)",2649108,387416,136072,105699,150553,74956,61757,45646,30037,779725,98709,105180,110444,114540,89248,131535,178975,48616
"2021","시도내이동-시군구간 전입 (명)",2117080,569648,189085,115986,126760,73211,69778,44822,0,586091,34936,26250,46065,47692,49323,55875,72297,9261
"2021","시도내이동-시군구간 전출 (명)",2117080,569648,189085,115986,126760,73211,69778,44822,0,586091,34936,26250,46065,47692,49323,55875,72297,9261
"2021","시도간전입 (명)",2447234,461123,116166,83076,155824,64721,80030,39412,46875,670399,83458,82870,125686,61478,85048,130456,123510,37102
"2021","시도간전출 (명)",2447234,567366,135069,107395,144401,70604,88961,53086,32790,519882,76777,79408,117164,67279,89535,127119,137213,33185
